"gene","module"
"TRHDE-AS1","Mid"
"LINC02552","Mid"
"COL6A6","Mid"
"LINC01320","Mid"
"LNC-LBCS","Mid"
"LINC00635","Mid"
"AL138889.1","Mid"
"CHIT1","Mid"
"AL136171.2","Mid"
"DNAH3","Mid"
"STAB2","Mid"
"PVALB","Mid"
"RIMS2","Mid"
"LINC01322","Mid"
"PCLO","Mid"
"SLC4A10","Mid"
"LINC01606","Mid"
"TRPM1","Mid"
"FSIP2","Mid"
"COL24A1","Mid"
"DPYSL3","Mid"
"LERFS","Mid"
"KIAA1671","Mid"
"LINC02223","Mid"
"BCL11A","Mid"
"COL17A1","Mid"
"SYT16","Mid"
"SCN1A-AS1","Mid"
"MIR4500HG","Mid"
"ROS1","Mid"
"ST8SIA2","Mid"
"POU6F2","Mid"
"TTC6","Mid"
"ADGRF1","Mid"
"ERC2","Mid"
"AC008691.1","Mid"
"SLC4A8","Mid"
"STXBP5L","Mid"
"LINC01811","Mid"
"KCNH5","Mid"
"ATP8A2","Mid"
"AC109466.1","Mid"
"IL12A-AS1","Mid"
"ABCB5","Mid"
"TMEM132B","Mid"
"ELAVL4","Mid"
"ITIH4","Mid"
"GALNTL6","Mid"
"LINC01568","Mid"
"FAM135B","Mid"
"MIR4435-2HG","Mid"
"CNTN5","Mid"
"C2orf16","Mid"
"CACNA1D","Mid"
"CFAP47","Mid"
"HMGA2","Mid"
"KCNJ6","Mid"
"LINC01192","Mid"
"KRT80","Mid"
"COL9A1","Mid"
"PTPRT","Mid"
"DNAH12","Mid"
"MROH2B","Mid"
"AC124290.1","Mid"
"MIR7515HG","Mid"
"ADAMTS20","Mid"
"AP003900.1","Mid"
"ATP13A5","Mid"
"MUSK","Mid"
"GRIA4","Mid"
"RIMS1","Mid"
"LINC01036","Mid"
"ANKFN1","Mid"
"MCTP2","Mid"
"DBNDD1","Mid"
"DELEC1","Mid"
"LINC00461","Mid"
"LOXHD1","Mid"
"ACSM2A","Mid"
"PYCR1","Mid"
"ERBB3","Mid"
"DPP10","Mid"
"CLSPN","Mid"
"FHAD1","Mid"
"ARMC4","Mid"
"RGSL1","Mid"
"OTOG","Mid"
"ATP10B","Mid"
"GABRA1","Mid"
"CACNA1A","Mid"
"AL157944.1","Mid"
"SCN5A","Mid"
"CEBPA","Mid"
"ACOXL","Mid"
"MYH15","Mid"
"TF","Mid"
"TFPI2","Mid"
"CDH7","Mid"
"PEX5L","Mid"
"LINC01828","Mid"
"DSCAM","Mid"
"LINC02263","Mid"
"CFAP54","Mid"
"ADGB","Mid"
"LINC01934","Mid"
"AL359764.2","Mid"
"LY86-AS1","Mid"
"KSR2","Mid"
"CENPF","Mid"
"ABCB11","Mid"
"NELL1","Mid"
"HEPHL1","Mid"
"AC246817.2","Mid"
"OR4K2","Mid"
"MAP3K19","Mid"
"FRMPD2","Mid"
"SULT1C2","Mid"
"UTS2R","Mid"
"CNGB1","Mid"
"GRID2","Mid"
"TRPM8","Mid"
"LINC01877","Mid"
"AC021613.1","Mid"
"SP140","Mid"
"LINC00971","Mid"
"LINC00279","Mid"
"AL354809.1","Mid"
"TMC1","Mid"
"AC117453.1","Mid"
"GABRG3","Mid"
"LINC01229","Mid"
"SLC7A14","Mid"
"AL138828.1","Mid"
"GRIN2A","Mid"
"AC113414.1","Mid"
"ITPRID1","Mid"
"LINC01847","Mid"
"AP001042.1","Mid"
"LINC01608","Mid"
"LINC02882","Mid"
"LINC02217","Mid"
"FCRL5","Mid"
"SCN10A","Mid"
"LAMA4","Mid"
"LINC00943","Mid"
"NRXN3","Mid"
"AC097512.1","Mid"
"CHRM3","Mid"
"CIT","Mid"
"MIR4432HG","Mid"
"AC087564.1","Mid"
"ZNF91","Mid"
"MEGF11","Mid"
"MGAM2","Mid"
"FST","Mid"
"GRM8","Mid"
"LINC02241","Mid"
"ARHGAP36","Mid"
"FAM184B","Mid"
"LINC01287","Mid"
"CXADR","Mid"
"WDR72","Mid"
"LINC01721","Mid"
"LINC00598","Mid"
"VWDE","Mid"
"AC018697.1","Mid"
"AL139220.2","Mid"
"LINC01255","Mid"
"BASP1-AS1","Mid"
"RELN","Mid"
"LINC02840","Mid"
"IGF2BP3","Mid"
"LINC00923","Mid"
"SLC5A12","Mid"
"RAB3B","Mid"
"MIR3681HG","Mid"
"NRCAM","Mid"
"SYT14","Mid"
"AC015574.1","Mid"
"TENM2","Mid"
"LINC01151","Mid"
"CENPE","Mid"
"AL135878.1","Mid"
"CASR","Mid"
"KIF6","Mid"
"ZPLD1","Mid"
"UNC5D","Mid"
"LINC01748","Mid"
"AC080132.1","Mid"
"ONECUT2","Mid"
"LINC01517","Mid"
"ARRDC3","Mid"
"AL137139.2","Mid"
"GRIA1","Mid"
"LINC00907","Mid"
"MYO3B","Mid"
"NKAIN3","Mid"
"GABRA4","Mid"
"FMN1","Mid"
"OR2M3","Mid"
"TG","Mid"
"CCDC3","Mid"
"LAMB4","Mid"
"TMC3-AS1","Mid"
"LINC02436","Mid"
"AC097521.1","Mid"
"MYO5B","Mid"
"LINC02607","Mid"
"HSD17B2","Mid"
"RNF17","Mid"
"CFAP20DC","Mid"
"SHROOM3","Mid"
"CNGB3","Mid"
"AL158064.1","Mid"
"ANKRD30A","Mid"
"RPH3A","Mid"
"VEPH1","Mid"
"SI","Mid"
"LINC02208","Mid"
"LINC01572","Mid"
"AL392086.3","Mid"
"SCN8A","Mid"
"MIR9-1HG","Mid"
"FER1L6","Mid"
"CNTNAP5","Mid"
