sample_id,ES_positive,ES_control,CPS,CPS_zscore,subgroup,CPS_class
AB_57,-0.39710869700210794,-0.2841144077707849,-0.11299428923132304,-0.2500052856119421,Colorectal,CPS-LowOrMid
AB_58,-0.32127325693567305,-0.48118341270386517,0.15991015576819212,0.3538088910248627,Pancreas,CPS-LowOrMid
AB_59,-0.46865969134967855,-0.12467929544170857,-0.34398039590796997,-0.7610731277562813,Colorectal,CPS-LowOrMid
AB_60,-0.2474110059636273,0.2203528159284116,-0.4677638218920389,-1.0349498960221344,Colorectal,CPS-LowOrMid
AB_61,-0.6014458682996152,-0.7904550135944423,0.18900914529482704,0.41819180132161243,Colorectal,CPS-LowOrMid
AB_62,1.9143142211431448,2.4296609087667407,-0.5153466876235959,-1.1402292691513292,Colorectal,CPS-LowOrMid
AB_63,0.28705906278667676,-0.4460379762145137,0.7330970390011904,1.622012367736149,Pancreas,CPS-High
AB_64,-0.03591710020327313,-0.4484775957347081,0.4125604955314349,0.9128098881739654,Colorectal,CPS-High
AB_65,-0.3087944693623687,-0.3118062680410664,0.003011798678697719,0.0066637490619725,Colorectal,CPS-LowOrMid
AB_66,-0.06105438464301326,-0.320593222640814,0.25953883799780075,0.5742421299557561,Pancreas,CPS-High
AB_67,-0.5791521848952212,-0.27362681448190146,-0.3055253704133198,-0.6759895390421408,Colorectal,CPS-LowOrMid
AB_68,-0.7226852616875681,-0.5430286613444638,-0.17965660034310427,-0.39749884694524396,Colorectal,CPS-LowOrMid
AB_69,1.2243599207401457,0.46181436443905705,0.7625455563010886,1.6871686249991786,Pancreas,CPS-High
AB_70,-0.5535649703571277,0.5524391163533847,-1.1060040867105125,-2.4470871003044152,Colorectal,CPS-LowOrMid
AB_71,-0.5161658520701233,-0.5218389058528933,0.005673053782769943,0.01255190364842022,Colorectal,CPS-LowOrMid
AB_72,-0.37363040104298384,-0.5889561112918194,0.2153257102488355,0.47641846376986186,Colorectal,CPS-LowOrMid
