gene,log2FC,p_value,FDR,baseMean,lfcSE,stat
AL391832.4,1.218960713528679,0.0007897554622936295,0.0035749563915705,6.0933570422768994,0.3625520603258057,3.356360517991483
SVOP,1.1860917007112433,0.0007904489728054891,0.0035771894884288,14.962694866359518,0.3531483274036637,3.356117782324197
PRSS33,1.551536915588625,0.0007913893704216164,0.0035809918106011,1.6585021673549911,0.4555670875757476,3.355788949231249
RECQL4,0.4897170826118819,0.0007918846055996367,0.003582779090381,19.525227241850764,0.1459364714196993,3.355615923859884
AL049536.1,1.646849166419835,0.0007920887711948374,0.0035832491778431,1.2451376109257355,0.4777879782800961,3.355544621675696
LINC02444,1.5733543317119658,0.0007922758894863302,0.0035836420375221,1.837003993152903,0.4622637444000183,3.355479288020103
AC064856.1,1.3514480143878471,0.0007929254289983246,0.0035861261682538,3.2489925092472265,0.4009473259262338,3.3552526078588354
AC008676.1,1.0424495440123098,0.0007932274226060801,0.0035870380398704,12.016140128527432,0.3105470777300358,3.3551472750186404
AC022613.2,0.8667043960467794,0.0007935393777948288,0.0035879947221193,5.113610544696719,0.2580291650645052,3.3550385067358444
AC078922.1,1.287511293780114,0.0007938518201992165,0.0035889533649942,3.3692473835048022,0.3822758504940347,3.354929608347763
OR4C46,1.7501291804948669,0.0007943364701106233,0.0035906902060224,1.2016083680714835,0.5070847449272188,3.3547607675953537
AC093734.1,1.712300846491272,0.0007945078435475255,0.0035910106630455,0.8189717379211169,0.5120476782470844,3.3547010879574874
LINC02223,1.446638551158434,0.0007949932906204249,0.0035927504072069,25.09287150222914,0.4310404016767347,3.354532099135197
FAM186B,0.593314433979078,0.0007954440626914862,0.003593424334783,21.832417045228603,0.1768725121484653,3.35437526674688
AC027228.1,1.7510860577347849,0.0007953922220887104,0.003593424334783,1.0354886911853802,0.5144830524053067,3.354393298904737
TENM3-AS1,0.8146195539623035,0.0007953803158778545,0.003593424334783,32.8696934119878,0.2428158013206114,3.354397440497364
TNIP3,1.363405583490728,0.0007957521363691075,0.0035943617100049,14.65987042001586,0.4060613986140983,3.354268129353271
AC244230.2,1.5613866289610292,0.0007960212026454448,0.0035951226766261,4.190603504537681,0.4636263132840677,3.354174588875253
AP001033.3,1.1278558643595065,0.000796211441914157,0.0035955274843477,3.1336456884945325,0.3351434784531383,3.3541084701918336
AL731559.1,0.6077992081470506,0.0007965471726428656,0.00359658911635,22.19881622428113,0.1811961732985478,3.3539918209273254
AC027612.3,1.434362608403129,0.0007972535821052906,0.0035986138827538,3.8469472093471935,0.4257699962024527,3.3537465286879926
AL031767.2,1.523562051211234,0.0007972976865981643,0.0035986138827538,1.792889244535308,0.4477537546532396,3.3537312206209102
LINC02322,1.5580659270881507,0.0007972814336952868,0.0035986138827538,1.412261791931968,0.4552123161135182,3.353736861690068
LRRC7-AS1,1.4987005794427997,0.0007976631407325458,0.0035998087288167,2.373704372765233,0.4426536833041433,3.353604406708794
SPANXN1,1.7211322989093965,0.0007981862733543727,0.0036017147774164,1.0141109335370146,0.5120623083466133,3.3534229715927903
ESPNL,0.8303648249068503,0.0007987728234778568,0.0036035144629225,9.349393194919896,0.2474817252523708,3.353219672933136
AC082651.1,1.09545519067445,0.0007992429035301393,0.0036051171130077,5.872072953168643,0.3262024629661493,3.353056842860992
AF233439.2,1.3429110544385143,0.0007994085958972378,0.003605409439699,3.394808425115312,0.3985343153051384,3.352999470203456
AC007846.1,1.5107208895017104,0.000800220085426893,0.003608158644081,2.6201607438465557,0.4469893350123107,3.352718643026588
AC021393.1,1.3755517608588768,0.0008002012081659743,0.003608158644081,10.23296693784922,0.4096854545359153,3.3527251727608087
OVOL1,1.5660801692931632,0.0008009297607406839,0.0036095369217339,3.36761176540868,0.4641601664094817,3.3524732666096835
REG1A,1.4313780376899623,0.000800785732270076,0.0036095369217339,4.0496991151244215,0.4251359960832409,3.3525230493834
AC074051.3,1.0890846596793502,0.0008008923249992345,0.0036095369217339,5.150281945977093,0.3242003723312847,3.3524862053012088
AC243772.2,0.9131779498934351,0.0008008892064513678,0.0036095369217339,9.19833944510595,0.272261806916553,3.35248728317159
PDE2A-AS1,1.7217566599321874,0.0008019942593491891,0.0036138785576372,1.318485500997795,0.5017697853474934,3.352105584993485
PSG9,1.2519267784674089,0.0008025378548915109,0.0036158721455008,7.316814649404351,0.3728393755962196,3.351917999807254
HOXD1,1.1096438657560026,0.000802770416705883,0.0036160082117765,3.24437258966112,0.3297977144674973,3.3518377828581443
AP000894.2,1.5073271683768332,0.0008029067122355438,0.0036161663619248,4.9189556708988125,0.4479038943663064,3.3517907808135368
AC097518.1,1.665827563348249,0.0008038010863382481,0.0036197383094198,1.6318953960976657,0.4875887287532328,3.3514825359972926
BX470102.1,1.491947040024599,0.0008040075667791084,0.0036202119719732,2.209032750210912,0.4408142548186728,3.351411418017735
OOSP2,1.4153109697737734,0.0008043615161605518,0.0036210658190684,4.288956669483218,0.4206213048974513,3.3512895467862225
AC103739.2,1.277356721163721,0.0008043998415575667,0.0036210658190684,2.333314328586434,0.3781904329414406,3.3512763536387538
LINC02759,1.4502495413954268,0.0008047052944363768,0.0036219846111545,4.043291450278239,0.4308467556905108,3.351171225283315
ERVH48-1,1.4905621676609404,0.0008055491292908449,0.0036248696528073,3.0516044158297952,0.4416531540052297,3.3508809932158554
LINC02523,1.298413665740857,0.0008055220115437525,0.0036248696528073,6.563225919321835,0.3867587953277006,3.3508903158180603
AKR1D1,1.3579332806283286,0.0008061492363127581,0.0036266567733314,10.419679370979155,0.4046841547476525,3.350674761523603
AC010463.2,1.6382273620335293,0.000806054000209044,0.0036266567733314,1.6234775654648657,0.4805891786834148,3.350707480678345
AL591686.1,1.6324535408059109,0.000806389895968366,0.0036272828322363,1.552608096648897,0.4776372346359643,3.3505920968806184
AL391117.1,1.4116382409732733,0.0008070457187163087,0.003629775974765,6.138478559686578,0.420093153776767,3.350366943218844
BX284668.2,1.143097331751468,0.0008075789831143865,0.0036317173396932,12.00750064851242,0.3409108744463212,3.350183990771338
AC091980.2,1.548369436163545,0.0008078420001206144,0.0036324430548956,3.359883149800148,0.4595164187694668,3.3500937961255977
AC100863.1,1.5474345525178756,0.0008084455289468747,0.0036346994984908,2.119425938187769,0.4562229143756149,3.349886935019156
AC018695.4,1.7422325723758378,0.0008088865804077267,0.0036362249824668,0.8849244905109585,0.5210987173580451,3.349735854065005
LINC02656,0.6081540248271025,0.0008096244963137322,0.0036390844232499,28.766105174439623,0.1815528271757184,3.349483253865908
AL354993.2,1.6566953762490992,0.0008097279995008881,0.0036390919575154,2.5675031143406715,0.4902702489880595,3.349447840185259
OR4M1,1.5013080093368838,0.0008098610225404429,0.0036392321417767,9.565595501458857,0.4473886079725788,3.349402332436214
AC109811.1,1.3681017562643802,0.0008101065093689543,0.0036398776001794,7.898951182136337,0.4076718517366981,3.349318368553096
AC093515.1,1.437628231554208,0.0008115343848857265,0.0036457573233404,6.420810794895047,0.428133371480151,3.348830459679519
LINC01648,1.4837677713090598,0.0008116191522887929,0.0036457573233404,4.525402610727118,0.4413327272276856,3.3488015194859315
IFITM10,0.941746115947216,0.0008131099132015687,0.0036515358228195,7.4432233369048575,0.2809696543335465,3.3482930209570707
AC025475.1,1.5812078565879528,0.0008135008619702748,0.003652744810566,1.9292479492062893,0.4655936381367731,3.3481598115128204
AL355838.1,1.4421207528700026,0.0008136857528937448,0.003652744810566,9.162035826006326,0.4298069624610943,3.3480968336202963
MBL2,1.418102892665233,0.0008145940138778444,0.0036563628319475,4.934638962600069,0.4220434096199578,3.347787652755204
LINC01143,1.412770380110124,0.0008152918823618615,0.0036585762546268,3.104849255876859,0.4199092216092208,3.3475503087663068
OVAAL,1.448819424441414,0.0008151973408260772,0.0036585762546268,6.508973158986961,0.4316161758652426,3.3475824511549463
ZNF165,0.8566915172071674,0.0008157395788437204,0.0036601256834547,9.261175627969552,0.2557650891624531,3.3473981471191125
AC011388.1,1.818645907653793,0.0008160763697496974,0.003660717622959,1.4330899756535354,0.537928848446357,3.347283730764389
AL591518.1,1.508907112398768,0.0008160716527279741,0.003660717622959,3.7783731155697713,0.4484548598546237,3.34728533295296
TM4SF19-AS1,1.0217042166764252,0.0008163847800173895,0.0036616414744304,5.34044449441112,0.3046856144364639,3.3471789944499024
AC068931.1,1.4731218801864057,0.0008166634022720149,0.0036624315058849,4.654327520358389,0.4381905332074085,3.34708440572167
PGLYRP4,1.460527385686423,0.0008169080468693052,0.0036630689810558,6.363077934848663,0.435257438516308,3.347001376662041
AL356475.1,1.4900221044956794,0.0008171861495842003,0.0036638563058386,2.043982639872349,0.4403370624666718,3.3469070203851925
KLK6,1.3980131480103737,0.0008174745862803318,0.0036640899762844,5.52378802334926,0.4164331297090789,3.346809189405323
AL603839.2,1.7039672672699877,0.0008175458467427462,0.0036640899762844,1.3784100397417425,0.49638847150947,3.34678502445716
LINC01353,0.988329246678837,0.000817489130818296,0.0036640899762844,11.008563963173197,0.2951692546213686,3.346804257086532
