gene,log2FC,p_value,FDR,baseMean,lfcSE,stat
TMEM163,1.3818372514943984,6.316093753368342e-08,3.494535745086934e-05,16.957663720393015,0.2551910739488596,5.409613425384015
PSAPL1,2.442464416666744,6.568502481439358e-08,3.494535745086934e-05,2.672519316974047,0.4353348948372625,5.402591246449757
F5,1.2840704756310468,6.6632066532299e-08,3.494535745086934e-05,46.00983946616921,0.2377226705324473,5.400023772980469
GRM4,1.7989575129038011,6.676733972376835e-08,3.494535745086934e-05,20.437104530453617,0.3326709368693342,5.399659929773972
AL078590.1,2.3543184012145075,6.756280616375486e-08,3.494535745086934e-05,3.0144879705937497,0.4237105444151477,5.397534709641274
SLCO6A1,1.9733705139341011,6.828722595924327e-08,3.494535745086934e-05,9.86299751113152,0.3641066627248884,5.3956202859777065
BCL11B,1.1308564775438947,6.844745149591063e-08,3.494535745086934e-05,23.59656216581909,0.2095108847310922,5.395199515705427
MGAM2,1.6248013799328742,6.944968387952012e-08,3.49576451054407e-05,33.14571106683336,0.3010961941509084,5.392588993376145
FRMPD3,1.6089160526033774,7.1324791901555e-08,3.5402852958024616e-05,12.503253065974077,0.2980264051516633,5.387801425795887
AC024597.1,2.093240095473344,7.5614114866261e-08,3.701777037110186e-05,5.649975512431095,0.3854680903640281,5.377292889067813
FAXC,1.591602857662903,7.712017959591607e-08,3.724487808647092e-05,28.88540271352844,0.2959634509689319,5.373739670377008
GOLGA6L2,2.133946646577218,8.063658569633964e-08,3.814593382260953e-05,10.264435397860186,0.3957098943594188,5.365698404257325
DGKI,1.465406202658731,8.166375018639152e-08,3.814593382260953e-05,55.70135023162407,0.2731269306511787,5.36341353861853
AC006112.1,1.994885287050312,8.218806044940774e-08,3.814593382260953e-05,6.278426075478624,0.3691487242329394,5.362257948439224
AC008403.3,2.063244684227221,8.424680519109396e-08,3.860015799896559e-05,4.834801510065409,0.3809942829550174,5.357788439780561
NUF2,1.751298964050997,9.166390171347908e-08,4.14668926510926e-05,13.07699401121396,0.3269889849878188,5.342518719836068
AC105411.1,1.861556069578836,9.409514167329329e-08,4.2034652164001945e-05,18.54610387673397,0.3481458467052928,5.337773036789927
KLK7,2.23144588581418,1.030503548916743e-07,4.546683435948958e-05,4.2568510042622,0.4128610421408621,5.321261133473173
AC018865.2,1.968282961423749,1.0522839783712277e-07,4.586161563296456e-05,5.68667493893868,0.3671734589246455,5.317455518631944
AC010184.1,1.8749953163347663,1.0966925269171913e-07,4.722120183971877e-05,10.001275582832696,0.3518529214695292,5.309926834131361
GJD2,1.989245826330788,1.1491546841986397e-07,4.847565844064055e-05,5.563660517805999,0.3721861404444766,5.301404004538011
AC114802.1,1.950229023539153,1.1529551086950716e-07,4.847565844064055e-05,4.353934358527351,0.3639444973281444,5.300801311483809
EPHA7,1.2649209016309504,1.1685053746608989e-07,4.851071896105037e-05,30.10084388339344,0.2386384028200378,5.298355122419119
NEIL3,1.3287457492551586,1.1809369717419501e-07,4.851071896105037e-05,13.738697082133733,0.2505971122671959,5.296422078609643
AL161753.1,2.344167457804549,1.2250230773588028e-07,4.904772959216134e-05,3.320044939975113,0.432068134695743,5.2897221554565865
SLC9A3R2,-0.559894771392526,1.2267544805473364e-07,4.904772959216134e-05,639.3606964921289,0.1058500326411951,-5.289463814551431
HOXA11,2.097032081754956,1.2351826244598244e-07,4.904772959216134e-05,4.335473122200448,0.3913934294201793,5.288211276665449
KIF4A,1.7662399635571313,1.3834748200962125e-07,5.112569379665855e-05,15.04045574796822,0.3346048977369688,5.267429211421508
LINC02785,1.2852330381999075,1.3862962169149273e-07,5.112569379665855e-05,13.545467483827569,0.2437725661112442,5.267055081609617
CACNA1D,1.3666333969420896,1.3905804321103574e-07,5.112569379665855e-05,58.07272319887957,0.2594238287226506,5.266488381507865
LINC01493,2.1142605313983576,1.3924940373893726e-07,5.112569379665855e-05,8.281594137076395,0.3989502824302651,5.266235802325105
ESPL1,1.5006477362933577,1.395779630068777e-07,5.112569379665855e-05,19.104820965780227,0.2846891777831873,5.26580291487225
NLRP14,1.7205282716574712,1.4033562825173546e-07,5.112569379665855e-05,14.530416735076496,0.3261388724964195,5.264808411771551
AC040168.1,1.3650953658814506,1.4145589974155828e-07,5.112569379665855e-05,31.077936385424053,0.2592306088213308,5.263347431456407
AC007389.1,1.2969195614710425,1.418688665962177e-07,5.112569379665855e-05,47.89138926143544,0.2463588333470296,5.26281169034556
ACOT1,-0.7428093802618659,1.4626581465652418e-07,5.112569379665855e-05,58.59935660150453,0.1412689665266298,-5.257199252097046
AC092636.1,2.1532766012898352,1.4688187222705424e-07,5.112569379665855e-05,4.319880724339059,0.4039125216263666,5.256425957619496
ALLC,1.7793565004935197,1.478397038601103e-07,5.112569379665855e-05,11.258496963193284,0.3376582133576033,5.2552298657560845
REC114,2.089185974707886,1.4888653694638789e-07,5.112569379665855e-05,4.220498676547139,0.3921414132341096,5.253931175001106
AL512634.1,1.937753586324608,1.491195128088893e-07,5.112569379665855e-05,8.423028297386372,0.367100686722451,5.253643349080792
BFSP1,1.4245168103289116,1.4995304450933917e-07,5.112569379665855e-05,14.64922845495147,0.270880533220833,5.252617126431315
AL390860.1,1.5583613706078128,1.5020980045467425e-07,5.112569379665855e-05,12.332969509853813,0.2961789177276465,5.252302126395359
ZAR1L,1.94143607370622,1.5621698250104105e-07,5.195992638991717e-05,4.76448451601467,0.3666268870355516,5.245077105299598
ALDH3B2,2.1095446687852952,1.568489975867368e-07,5.195992638991717e-05,5.299121906488337,0.3983717350050591,5.244332646089155
LYPD5,1.2518916052569031,1.5702255442697002e-07,5.195992638991717e-05,15.102536944793997,0.2385324142799442,5.244128718774593
RASSF6,1.4224557220468153,1.5976413090345045e-07,5.238211477272946e-05,15.2650616980478,0.2710842254363352,5.240935991790597
LINC02534,2.2638359766087297,1.615929948189896e-07,5.250009498946409e-05,3.065510529620063,0.4213520040250202,5.23883549852593
MPPED1,1.835286436278746,1.637787968482299e-07,5.2571721899747e-05,8.579005280891804,0.3490583622651481,5.23635500177462
POTEF,2.009666489600994,1.6568923857122985e-07,5.2571721899747e-05,9.52550486357293,0.382264900564078,5.234213066638252
OR52L1,2.5062341703312203,1.6622655365916984e-07,5.2571721899747e-05,1.5871794960253764,0.478608967931789,5.23361494568792
AC092125.2,1.8224367701886817,1.6946681951056276e-07,5.300502435756008e-05,6.284130620197341,0.3464441270379099,5.230047141896066
