gene,spearman_rho,pvalue,padj
ILVBL,0.39999999999999997,0.6,0.6497629043462503
IMMP1L,-1.0,0.0,0.0
IMMP2L,-0.39999999999999997,0.6,0.6497629043462503
IMMT,-1.0,0.0,0.0
IMP3,-1.0,0.0,0.0
IMP4,-1.0,0.0,0.0
IMPA1,-0.7999999999999999,0.20000000000000007,0.29498148909913624
IMPA2,-1.0,0.0,0.0
IMPACT,0.19999999999999998,0.8,0.8188409934341992
IMPDH1,1.0,0.0,0.0
IMPDH2,-1.0,0.0,0.0
IMPG1,0.7999999999999999,0.20000000000000007,0.29498148909913624
IMPG2,0.7999999999999999,0.20000000000000007,0.29498148909913624
INA,0.7999999999999999,0.20000000000000007,0.29498148909913624
INAFM1,0.39999999999999997,0.6,0.6497629043462503
INAFM2,-1.0,0.0,0.0
INAVA,0.7999999999999999,0.20000000000000007,0.29498148909913624
INCA1,-0.7999999999999999,0.20000000000000007,0.29498148909913624
INCENP,-1.0,0.0,0.0
INF2,0.7999999999999999,0.20000000000000007,0.29498148909913624
ING1,0.19999999999999998,0.8,0.8188409934341992
ING2,0.6000000000000001,0.3999999999999999,0.5121777015927432
ING3,-0.7999999999999999,0.20000000000000007,0.29498148909913624
ING4,0.39999999999999997,0.6,0.6497629043462503
ING5,-0.6000000000000001,0.3999999999999999,0.5121777015927432
INHA,0.6000000000000001,0.3999999999999999,0.5121777015927432
INHBA,0.7999999999999999,0.20000000000000007,0.29498148909913624
INHBB,0.7999999999999999,0.20000000000000007,0.29498148909913624
INHBC,0.6000000000000001,0.3999999999999999,0.5121777015927432
INHBE,0.39999999999999997,0.6,0.6497629043462503
INIP,-0.6000000000000001,0.3999999999999999,0.5121777015927432
INKA1,0.19999999999999998,0.8,0.8188409934341992
INKA2,-0.7999999999999999,0.20000000000000007,0.29498148909913624
INMT,0.19999999999999998,0.8,0.8188409934341992
INMT-MINDY4,0.0,1.0,1.0
INO80,-1.0,0.0,0.0
INO80B,-0.39999999999999997,0.6,0.6497629043462503
