cluster,TF,overlap,odds_ratio,pvalue,padj
3,MYCN,2.0,0.8733751535924464,0.6911888886839528,
3,MYF5,2.0,0.8733751535924464,0.6911888886839528,
3,MYF6,0.0,0.0,1.0,
3,MYOD1,8.0,0.6267212591108401,0.9218098331277407,
3,MYOG,2.0,0.5557018807358327,0.8674553646565126,
3,MZF1,1.0,0.5094300479046433,0.8621113400995102,
3,NANOG,7.0,2.6761267127165667,0.05281140855060969,
3,NCOA1,2.0,0.7641749660479855,0.7480212956241353,
3,NCOA3,3.0,1.5286361063950198,0.38949107910560576,
3,NCOR1,0.0,0.0,1.0,
3,NEUROD1,4.0,2.0384121953060146,0.21596532153116788,
3,NEUROG2,2.0,1.5285762788592123,0.4577303822875518,
3,NEUROG3,2.0,1.5285762788592123,0.4577303822875518,
3,NF1,3.0,0.8336471677728045,0.70869428664258,
3,NFATC1,5.0,1.698680453350441,0.24821001856951863,
3,NFATC2,7.0,1.646542337743787,0.20325391665576645,
3,NFE2,0.0,0.0,1.0,
3,NFE2L2,14.0,1.2973433336080662,0.2531198719533333,
3,NFIC,3.0,1.3102110113994665,0.4638592609232222,
3,NFIL3,2.0,0.8733751535924464,0.6911888886839528,
3,NFKB1,53.0,1.210339027684571,0.1383775898964082,
3,NFKB2,3.0,1.3102110113994665,0.4638592609232222,
3,NFKBIA,7.0,1.7838202544068245,0.16538669595006175,
3,NFYA,1.0,0.2546584436648938,0.9747752424086789,
3,NFYB,1.0,0.23506062795414384,0.9809952191843079,
3,NFYC,1.0,0.2546584436648938,0.9747752424086789,
3,NKX2-1,4.0,1.7471457679743847,0.27706569688418214,
3,NKX2-5,6.0,1.1464419157608696,0.4678133051880222,
3,NKX3-1,1.0,0.33958231174481035,0.9410212426960918,
3,NOTCH1,2.0,0.2909741533553213,0.9873246695521096,
3,NPM1,0.0,0.0,1.0,
3,NR0B1,6.0,3.670108695652174,0.03210512850798079,
3,NR0B2,7.0,2.140742837730721,0.10058844340175423,
3,NR1H3,0.0,0.0,1.0,
3,NR1H4,5.0,3.0580776633080493,0.0740694209563874,
3,NR1I2,3.0,2.293123938879457,0.23632852581656752,
3,NR1I3,2.0,0.8733751535924464,0.6911888886839528,
3,NR2F1,5.0,3.8227385939092042,0.04622605388225117,
3,NR2F2,3.0,0.7053415175656262,0.7940574943379746,
3,NR3C1,7.0,1.7838202544068245,0.16538669595006175,
3,NR3C2,1.0,0.5094300479046433,0.8621113400995102,
3,NR4A1,1.0,0.43663816097900066,0.896106541399458,
3,NR4A2,4.0,1.7471457679743847,0.27706569688418214,
3,NR5A1,8.0,1.8819757818625316,0.1217241729545289,
3,NR5A2,7.0,1.946057792281323,0.13100490237241014,
3,NRF1,4.0,0.7641215757301336,0.7640989586195154,
3,NRL,6.0,4.587805706521739,0.018382686808115,
3,NUPR1,1.0,0.6113386896005432,0.8169941664961439,
3,ONECUT1,2.0,1.0189754036517278,0.6241449309998756,
3,OTX2,3.0,4.586587436332767,0.09983665614785837,
3,PARP1,3.0,1.1463921901528014,0.533906847437862,
3,PAX2,4.0,1.3587905315322113,0.4039790543402979,
3,PAX3,7.0,1.646542337743787,0.20325391665576645,
3,PAX5,4.0,1.5286959474756623,0.34037312811791054,
3,PAX6,9.0,0.8873762783203446,0.6823602376508857,
3,PAX7,1.0,0.6113386896005432,0.8169941664961439,
3,PAX8,4.0,3.0578446909667196,0.10899322467058703,
3,PBX1,6.0,2.621312111801242,0.07555649889542332,
3,PBX2,1.0,0.6113386896005432,0.8169941664961439,
3,PDX1,4.0,3.0578446909667196,0.10899322467058703,
3,PER1,3.0,1.5286361063950198,0.38949107910560576,
3,PGR,2.0,0.5557018807358327,0.8674553646565126,
3,PIAS1,1.0,0.6113386896005432,0.8169941664961439,
3,PITX1,1.0,0.6113386896005432,0.8169941664961439,
3,PITX2,10.0,2.1848501521134054,0.05007223027947718,
3,PITX3,3.0,3.0576117713638937,0.16390758760986637,
3,PLAG1,0.0,0.0,1.0,
3,PML,5.0,1.09180669890508,0.52034438700033,
3,POU1F1,0.0,0.0,1.0,
3,POU2AF1,2.0,0.6792414868467381,0.7956022841099738,
3,POU2F1,6.0,1.3103163819875776,0.36865350709586187,
3,POU2F2,5.0,1.2738688252386883,0.4126861146428661,
3,POU3F1,2.0,2.038177154066697,0.35978945072832336,
3,POU3F2,0.0,0.0,1.0,
3,POU4F1,3.0,1.8344312393887945,0.3127297065041558,
3,POU5F1,5.0,0.804340183641488,0.7409241217393888,
3,PPARA,15.0,1.699472338710693,0.07250982083765319,
3,PPARD,3.0,1.1463921901528014,0.533906847437862,
3,PPARG,10.0,0.8042293658932106,0.7792882865983053,
3,PPARGC1A,3.0,0.5392989114151603,0.9030209921232343,
3,PRDM1,2.0,0.6792414868467381,0.7956022841099738,
3,PROX1,2.0,0.5093745284442432,0.8939155443255012,
3,PTTG1,3.0,0.7641482739105829,0.7543574945019114,
3,RARA,2.0,1.0189754036517278,0.6241449309998756,
3,RB1,2.0,0.4074543534027463,0.9466486141408285,
3,RBL1,2.0,1.5285762788592123,0.4577303822875518,
3,RBL2,3.0,1.3102110113994665,0.4638592609232222,
3,RBMX,3.0,1.8344312393887945,0.3127297065041558,
3,RBPJ,5.0,1.1758353725975146,0.4673678719907256,
3,REL,8.0,1.4389447738325227,0.2596455337652067,
3,RELA,30.0,1.1614010278343048,0.2749322112381769,
3,RELB,2.0,2.038177154066697,0.35978945072832336,
3,REST,9.0,4.589024804621135,0.003774530513967981,
3,RFX1,3.0,0.7641482739105829,0.7543574945019114,
3,RFX5,,,,
3,RFXANK,,,,
3,RFXAP,,,,
3,RNF2,2.0,1.2228157537347215,0.5462911248759457,
3,RORA,2.0,0.6792414868467381,0.7956022841099738,
3,RUNX1,3.0,0.7053415175656262,0.7940574943379746,
3,RUNX2,17.0,1.5294751161999773,0.10313501201716888,
3,RUNX3,3.0,2.293123938879457,0.23632852581656752,
3,RXRA,3.0,1.1463921901528014,0.533906847437862,
3,SALL4,3.0,2.293123938879457,0.23632852581656752,
3,SATB1,2.0,1.5285762788592123,0.4577303822875518,
3,SF1,5.0,1.698680453350441,0.24821001856951863,
3,SFPQ,2.0,1.5285762788592123,0.4577303822875518,
3,SIN3A,0.0,0.0,1.0,
3,SIRT1,4.0,0.6112067013810278,0.8774857746494354,
3,SIX1,3.0,0.8336471677728045,0.70869428664258,
3,SMAD1,8.0,1.6309248773121934,0.1851732740545385,
3,SMAD2,3.0,0.5730263157894737,0.8821826870976764,
3,SMAD3,13.0,1.204539445445961,0.3367328237595668,
3,SMAD4,12.0,1.3591157438880077,0.23666161891690912,
3,SMAD5,3.0,1.5286361063950198,0.38949107910560576,
3,SMAD7,0.0,0.0,1.0,
3,SMARCA4,6.0,1.4111622073578596,0.3190336299638332,
3,SNAI1,10.0,2.039117958012385,0.06557934584507226,
3,SNAI2,4.0,2.0384121953060146,0.21596532153116788,
3,SOX10,2.0,0.6112947034857401,0.8350391234897327,
3,SOX17,5.0,3.0580776633080493,0.0740694209563874,
3,SOX2,8.0,1.4389447738325227,0.2596455337652067,
3,SOX4,0.0,0.0,1.0,
3,SOX5,1.0,0.7642016521443928,0.7571168691280451,
3,SOX6,0.0,0.0,1.0,
3,SOX9,6.0,0.8335906620553359,0.722268673461081,
3,SP1,65.0,1.040609485433353,0.4148816776518076,
3,SP2,1.0,0.43663816097900066,0.896106541399458,
3,SP3,21.0,1.18924930374403,0.28925030798691426,
3,SP4,3.0,1.8344312393887945,0.3127297065041558,
3,SP7,5.0,1.52875580210574,0.30196100561783445,
3,SPDEF,3.0,3.0576117713638937,0.16390758760986637,
3,SPI1,7.0,0.7923686340626664,0.7681458024815284,
3,SREBF1,6.0,0.6548185170807453,0.8772761735563219,
3,SREBF2,5.0,2.548303709573946,0.10903966466339285,
3,SRF,3.0,0.6112507074136956,0.8574371211805658,
3,SRY,0.0,0.0,1.0,
3,STAT1,11.0,1.6821513538008384,0.11869901066959745,
3,STAT2,3.0,1.1463921901528014,0.533906847437862,
3,STAT3,15.0,0.7768025403558112,0.8440342307741435,
3,STAT4,3.0,3.0576117713638937,0.16390758760986637,
3,STAT5A,7.0,1.2589341024599172,0.3770141695363659,
3,STAT5B,1.0,0.43663816097900066,0.896106541399458,
3,STAT6,2.0,0.5093745284442432,0.8939155443255012,
3,TAL1,2.0,0.7641749660479855,0.7480212956241353,
3,TBP,2.0,1.2228157537347215,0.5462911248759457,
3,TBX1,1.0,0.43663816097900066,0.896106541399458,
3,TBX2,6.0,6.117300724637682,0.009278164490495892,
3,TBX21,4.0,2.4461851935702965,0.15920696130125567,
3,TBX3,5.0,3.0580776633080493,0.0740694209563874,
3,TCF12,0.0,0.0,1.0,
3,TCF21,,,,
3,TCF3,10.0,1.1323398613838125,0.4299575522334763,
3,TCF4,6.0,1.4111622073578596,0.3190336299638332,
3,TCF7L2,3.0,1.0189775514053951,0.5984180872111794,
3,TFAP2A,1.0,0.33958231174481035,0.9410212426960918,
3,TFAP2C,1.0,0.33958231174481035,0.9410212426960918,
3,TFAP4,3.0,2.293123938879457,0.23632852581656752,
3,TFCP2,6.0,6.117300724637682,0.009278164490495892,
3,TFDP1,3.0,1.3102110113994665,0.4638592609232222,
3,TP53,33.0,0.7751461145328267,0.9215233706007289,
3,TP63,2.0,0.5093745284442432,0.8939155443255012,
3,TP73,4.0,1.3587905315322113,0.4039790543402979,
3,TRERF1,2.0,1.2228157537347215,0.5462911248759457,
3,TRP53,36.0,0.9567706944073975,0.6221302120783303,
3,TRP63,1.0,0.33958231174481035,0.9410212426960918,
3,TRP73,7.0,1.946057792281323,0.13100490237241014,
3,TWIST1,9.0,1.5289953562124816,0.2014266582880966,
3,TWIST2,1.0,0.6113386896005432,0.8169941664961439,
3,USF1,7.0,2.140742837730721,0.10058844340175423,
3,USF2,4.0,1.5286959474756623,0.34037312811791054,
3,VDR,4.0,4.077277186627424,0.0673463366675982,
3,VHL,5.0,1.0189818483716366,0.5709080136351532,
