cluster,TF,overlap,odds_ratio,pvalue,padj
0,NR1I2,5.0,1.1207175177763413,0.6253751347748302,
0,NR1I3,6.0,0.896529433154216,0.7076082191363499,
0,NR2F1,8.0,3.5870540223847427,0.17955914260724068,
0,NR2F2,11.0,0.9862038309221692,0.6280639689819763,
0,NR3C1,12.0,0.7683630170597234,0.7922953383457748,
0,NR3C2,5.0,1.1207175177763413,0.6253751347748302,
0,NR4A1,6.0,1.3449153569552745,0.5276306956997026,
0,NR4A2,7.0,0.7844242424242425,0.7682935087585698,
0,NR5A1,13.0,0.7283078726155836,0.8285062499449732,
0,NR5A2,14.0,1.569292325102049,0.3013951245256915,
0,NRF1,12.0,0.6722570216205294,0.8670788183471546,
0,NRL,8.0,1.7933653885005454,0.35775333684118343,
0,NUPR1,4.0,0.8965377933987799,0.7264867648792672,
0,ONECUT1,8.0,inf,0.051645710818670754,
0,OTX2,4.0,1.7932371833717125,0.5087055327467294,
0,PARP1,6.0,0.5378206941133692,0.9105324146215871,
0,PAX2,13.0,inf,0.008100356360651624,
0,PAX3,13.0,0.8324269086878204,0.7424396850115218,
0,PAX5,11.0,4.932797219752687,0.07487876042382056,
0,PAX6,34.0,2.54235597082339,0.017551721029046858,
0,PAX7,3.0,0.44821039023996123,0.9217279826010608,
0,PAX8,6.0,1.3449153569552745,0.5276306956997026,
0,PBX1,9.0,1.0086269597543236,0.6254716308148001,
0,PBX2,4.0,0.8965377933987799,0.7264867648792672,
0,PDX1,8.0,inf,0.051645710818670754,
0,PER1,5.0,0.5602577569489334,0.8891254258546597,
0,PGR,9.0,1.0086269597543236,0.6254716308148001,
0,PIAS1,5.0,2.241637039431157,0.3998149166804603,
0,PITX1,5.0,2.241637039431157,0.3998149166804603,
0,PITX2,20.0,2.2423899421918585,0.09350965088391253,
0,PITX3,4.0,0.8965377933987799,0.7264867648792672,
0,PLAG1,3.0,0.6723761816272118,0.824107373740164,
0,PML,13.0,0.9712522901174696,0.6312073216758359,
0,POU1F1,6.0,inf,0.10834485239407438,
0,POU2AF1,8.0,1.195469177205813,0.541623033146557,
0,POU2F1,15.0,1.3450408212755638,0.3804384958927472,
0,POU2F2,15.0,3.363511438040579,0.06621059210273336,
0,POU3F1,4.0,1.7932371833717125,0.5087055327467294,
0,POU3F2,4.0,0.3585181594150204,0.9704792775628538,
0,POU4F1,6.0,1.3449153569552745,0.5276306956997026,
0,POU5F1,15.0,0.746975453345189,0.8211820743789535,
0,PPARA,25.0,0.6588867958634206,0.9308463854619051,
0,PPARD,8.0,1.195469177205813,0.541623033146557,
0,PPARG,30.0,0.7468219624971354,0.8715459333276058,
0,PPARGC1A,14.0,1.0460062778698351,0.5713129721873894,
0,PRDM1,7.0,0.7844242424242425,0.7682935087585698,
0,PROX1,12.0,2.6904829258436047,0.14306320520726387,
0,PTTG1,10.0,0.8965127086111447,0.6931196628373273,
