category,subcategory,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signal transduction,hsa04022,cGMP-PKG signaling pathway,32/1104,166/9521,0.0024888145733991986,0.016416603820690868,0.012192168557947492,ADCY3/NFATC4/BDKRB2/ADRA2A/ADCY7/CREB3L1/ADCY2/VDAC3/NFATC1/VDAC1/ADCY9/MYLK/CACNA1C/PLCB2/PDE3A/PRKG1/ATP1B1/PIK3CG/GNAI1/MYLK2/MYLK3/PLN/ATP2A2/PDE3B/MYL9/PIK3R5/ATP2B2/ATP2A1/NPPC/ADRB1/ATP2B3/ADORA3,32
Environmental Information Processing,Signal transduction,hsa04371,Apelin signaling pathway,28/1104,140/9521,0.002597722618340329,0.016811676567749675,0.012485578423800587,GNB4/ADCY3/ADCY7/SPP1/PRKAA2/ADCY2/GNG2/ADCY9/MYLK/HDAC5/PLCB2/PRKAG2/CCN2/GNB3/PIK3CG/GNAI1/MYLK2/PPARGC1A/MYLK3/PDE3B/LIPE/SPHK1/CCND1/PIK3R5/MYL4/MAP1LC3C/PLIN1/EGR1,28
Environmental Information Processing,Signal transduction,hsa04010,MAPK signaling pathway,51/1104,300/9521,0.003012883079060462,0.019137386965143305,0.014212820762819335,PDGFRB/TGFB1/MAP3K12/IGF1/NTRK2/PDGFD/TGFBR2/IGF2/ARRB1/FGF7/TGFB3/RASGRP3/NFATC1/CSF1R/CDC25B/PDGFRA/MKNK2/CD14/ERBB3/CACNA1C/MAPKAPK3/VEGFD/FGF16/FGF18/NGFR/HGF/ANGPT2/CACNB3/MYD88/FGF2/PLA2G4A/EFNA5/DUSP4/CACNB2/MAPK8IP1/FLNA/PPM1B/GADD45A/MAP2K6/NTF4/PLA2G4F/MAPK13/RAC3/DUSP8/MAP4K1/CACNB4/FOS/ANGPT4/HSPA6/RPS6KA6/NR4A1,51
Human Diseases,Infectious disease: parasitic,hsa05146,Amoebiasis,22/1104,103/9521,0.00311406499232725,0.019420441679422668,0.014423037859199895,COL1A1/COL1A2/COL3A1/TGFB1/FN1/LAMA2/TGFB3/LAMA4/RAB7B/ITGB2/ACTN1/LAMB1/CD14/LAMB2/LAMA3/PLCB2/COL4A2/ITGAM/GNA15/COL4A1/CXCL1/CTSG,22
Metabolism,Carbohydrate metabolism,hsa00010,Glycolysis / Gluconeogenesis,16/1104,67/9521,0.003474639603300969,0.021282167570218436,0.015805691428549522,PFKL/FBP1/ACSS2/ENO2/ALDH3B1/DLAT/PFKP/PCK2/GAPDH/ADH1C/PGM1/ENO3/PGAM2/ALDH3A1/ADH1B/PCK1,16
Organismal Systems,Immune system,hsa04672,Intestinal immune network for IgA production,13/1104,50/9521,0.003714886193582502,0.022354490603487688,0.0166020768023447,TGFB1/HLA-DRB1/HLA-DRA/HLA-DPB1/HLA-DQA1/HLA-DPA1/HLA-DMB/CD86/CXCR4/ITGA4/CD28/HLA-DRB5/CD40LG,13
Organismal Systems,Development and regeneration,hsa04360,Axon guidance,34/1104,184/9521,0.003802392145834967,0.022486560448644718,0.01670016151165267,SRC/SLIT3/BOC/PLXNB2/TRPC1/NFATC4/ROBO3/EPHB3/SRGAP2/FYN/EPHA3/MYL5/PLXNB1/SRGAP1/ABLIM2/SEMA3B/NTN1/PLXNB3/EPHB2/LIMK2/GDF7/PLXNA3/SEMA5A/SEMA3D/RHOD/PARD6G/PLXNC1/EFNA5/GNAI1/MYL9/CXCR4/RAC3/SEMA3A/PLXNA4,34
Organismal Systems,Immune system,hsa04666,Fc gamma R-mediated phagocytosis,21/1104,99/9521,0.004164252092703339,0.024209126572834666,0.017979464878398004,DOCK1/ASAP2/PLD1/PLD2/MARCKS/ARPC5/GSN/VAV2/WASF1/GAB2/PRKCD/FCGR2B/LIMK2/SYK/PLA2G4A/SPHK1/PLA2G4F/AMPH/FCGR3A/WAS/FCGR2A,21
Metabolism,Global and overview maps,hsa01230,Biosynthesis of amino acids,17/1104,75/9521,0.004691740312387507,0.026489470720990144,0.019673014928585593,PFKL/ALDH18A1/PRPS2/BCAT1/ENO2/TKT/ACO2/GOT2/GOT1/PFKP/GAPDH/GLUL/GPT2/ENO3/PGAM2/SDS/PHGDH,17
Environmental Information Processing,Signaling molecules and interaction,hsa04061,Viral protein interaction with cytokine and cytokine receptor,21/1104,100/9521,0.004710955434345186,0.026489470720990144,0.019673014928585593,TNFRSF14/IL10RA/CXCL14/CSF1R/CCL22/IL34/CCL18/CCL14/CCR1/CCL21/CXCR4/IL2RG/ACKR4/CCL16/CXCL1/CCL3L3/IL2RB/CCL5/CCR5/CCL3/CXCL9,21
Organismal Systems,Immune system,hsa04613,Neutrophil extracellular trap formation,35/1104,196/9521,0.005886809137890297,0.032567347327360836,0.024186889836493242,SRC/GSDMD/C3/H2BC12/VDAC3/VDAC1/FPR3/ITGB2/HDAC5/PLCB2/CYBB/ACTG1/SYK/H4C6/TLR7/ITGAM/H4C5/H3C6/SELP/H3C2/MAPK13/H3C1/NCF4/SELPLG/H2AC8/H4C8/FCGR3A/CTSG/H4C9/FCGR2A/H2AC11/H2BC7/CLEC7A/SIGLEC9/H3-5,35
Organismal Systems,Endocrine system,hsa04928,"Parathyroid hormone synthesis, secretion and action",23/1104,115/9521,0.0059970931387642425,0.032650840422160876,0.024248897904443557,MMP14/ADCY3/ADCY7/MMP16/NACA/PLD1/ARRB1/CREB3L1/PLD2/ADCY2/RUNX2/ADCY9/PDE4D/PLCB2/WNK2/GNAI1/MMP17/RXRG/VDR/PTHLH/FOS/EGR1/HBEGF,23
Organismal Systems,Endocrine system,hsa04923,Regulation of lipolysis in adipocytes,14/1104,59/9521,0.006442959032154972,0.03453023356295555,0.025644672463511566,ADCY3/ADCY7/ADCY2/PTGER3/ADCY9/PRKG1/GNAI1/PDE3B/NPY1R/FABP4/LIPE/CIDEC/PLIN1/ADRB1,14
Human Diseases,Substance dependence,hsa05032,Morphine addiction,19/1104,91/9521,0.007439913403129125,0.038783276191842846,0.02880329243033902,GNB4/ADCY3/ADCY7/ARRB1/PDE1A/ADCY2/GRK3/KCNJ5/GNG2/ADCY9/GABBR1/PDE4D/GABRE/PDE3A/GNB3/PDE7A/GNAI1/PDE3B/PDE1B,19
Human Diseases,Immune disease,hsa05321,Inflammatory bowel disease,15/1104,66/9521,0.007462671220587836,0.038783276191842846,0.02880329243033902,TGFB1/STAT6/TGFB3/RORC/NFATC1/HLA-DRB1/HLA-DRA/IL21R/HLA-DPB1/HLA-DQA1/HLA-DPA1/HLA-DMB/IL4R/IL2RG/HLA-DRB5,15
Metabolism,Amino acid metabolism,hsa00350,Tyrosine metabolism,10/1104,37/9521,0.007804083342408048,0.039952247558894934,0.029671455913004675,MAOB/AOX1/AOC3/ALDH3B1/GOT2/GOT1/ADH1C/ALDH3A1/ADH1B/HPD,10
Genetic Information Processing,Information processing in viruses,hsa03265,"Virion - Ebolavirus, Lyssavirus and Morbillivirus",5/1104,12/9521,0.008166102210793431,0.04119078026914922,0.0305912807277401,CHRNA1/FCGR2B/NGFR/CD209/NCAM1,5
Cellular Processes,Cellular community - eukaryotes,hsa04540,Gap junction,19/1104,92/9521,0.008386889541938966,0.041691349462102394,0.03096303995650999,SRC/LPAR1/PDGFRB/ADCY3/PDGFD/ADCY7/TUBA4A/ADCY2/TUBA1A/ADCY9/PDGFRA/PLCB2/PRKG1/TUBB2A/TUBB6/GNAI1/HTR2B/TUBB2B/ADRB1,19
Organismal Systems,Immune system,hsa04658,Th1 and Th2 cell differentiation,19/1104,93/9521,0.009428736201045698,0.045550091788150344,0.03382882373095714,NOTCH2/MAML2/STAT6/CD4/NFATC1/HLA-DRB1/PRKCQ/HLA-DRA/HLA-DPB1/HLA-DQA1/HLA-DPA1/HLA-DMB/IL4R/IL2RG/MAPK13/RUNX3/IL2RB/FOS/HLA-DRB5,19
Organismal Systems,Endocrine system,hsa04912,GnRH signaling pathway,19/1104,93/9521,0.009428736201045698,0.045550091788150344,0.03382882373095714,MMP14/MMP2/SRC/ADCY3/ADCY7/PLD1/PLD2/ADCY2/ADCY9/PRKCD/CACNA1C/PLCB2/PLA2G4A/PTK2B/MAP2K6/PLA2G4F/MAPK13/EGR1/HBEGF,19
Organismal Systems,Immune system,hsa04621,NOD-like receptor signaling pathway,33/1104,189/9521,0.010271465135084255,0.0489321186296375,0.036340563782023244,ANTXR1/ANTXR2/NOD1/TRIP6/TRAF5/GSDMD/P2RX7/PYCARD/VDAC3/VDAC1/CARD6/MFN2/PRKCD/STING1/PLCB2/CYBB/IFI16/MYD88/TRPV2/GABARAPL1/RIPK3/CASP8/NAIP/IKBKE/TRPM2/PANX1/PSTPIP1/MAPK13/GPSM3/MAP1LC3C/CXCL1/CCL5/CARD9,33
