category,subcategory,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
NA,NA,hsa04517,IgSF CAM signaling,119/2970,302/9521,0.0012905833254913276,0.00890502494589016,0.0071185859216574285,IL1RAP/SLITRK2/TRPC6/ROBO2/KCNQ3/PTPRD/PPFIA2/IL1RAPL2/UNC5C/CABLES1/LY9/CD80/VAV3/GLDN/NRCAM/DCC/UNC5D/NPHS2/NRP2/SPTBN5/CD28/LRFN5/MYH10/CDH1/SLAMF1/CD86/PTPRF/SPTBN2/MAPK13/SH2D1A/MYLK/LRRC4B/PTPRZ1/CDH2/PAK5/NPHS1/ITGA4/TIGIT/ACTN1/CNTNAP2/CRTAM/SLITRK6/CNTN2/KCNA4/KCNQ2/SLAMF7/ICAM1/TUBB6/SRGAP1/NECTIN4/TUBA3E/PRKCB/SLIT3/SRGAP3/CD96/CD84/CADM3/TJP2/DOK1/LRRC4C/KIRREL3/SRC/CXADR/GRIP1/FGG/PAK3/NTN1/VAV1/NTRK3/PARD6B/KIRREL1/CD244/SCN8A/SLAMF6/LCP2/IGSF5/TUBB3/JAML/CNTN1/SLITRK1/CLMP/ITGAM/FGA/KCNA6/FGB/KCNA1/PRKCG/NLGN1/CD48/PLXNA4/PTPN6/KIRREL2/SH2D1B/MAG/TUBA3C/LYN/DOK2/ITGB2/IL1RAPL1/CD209/TUBB8/PMP2/CASKIN1/NLGN3/ITGAX/PPFIA3/CD2/LCK/ITGAL/UNC5A/MYLK2/MYH11/TUBAL3/TUBB4A/TUBA3D/CLEC4M/RIMS1/TUBB8B/MYLK4,119
Organismal Systems,Sensory system,hsa04744,Phototransduction,17/2970,29/9521,0.002026350674400493,0.013707666326826864,0.010957768352795237,PDE6B/GUCY2F/PDE6A/SAG/CNGB1/GNAT1/GUCY2D/GNAT2/CALML3/GNGT1/RHO/RCVRN/GRK1/GUCA1C/GUCA1A/CALML6/CALML5,17
Metabolism,Lipid metabolism,hsa00590,Arachidonic acid metabolism,31/2970,63/9521,0.0020701468460408664,0.013734628113155749,0.010979321329204598,PLA2G4A/CYP2C9/PLA2G5/PLA2G2F/TBXAS1/CYP2C8/ALOXE3/CYP2C19/CYP4F8/PLA2G4E/CYP2B6/PLA2G4D/PLA2G3/PLA2G2C/ALOX15/ALOX12B/CYP4F2/PLB1/PLA2G2D/PTGES/ALOX15B/PLA2G1B/PLA2G12B/ALOX5/PLA2G2A/PLA2G2E/PTGS2/PLA2G10/CYP4F3/ALOX12/PLAAT2,31
Metabolism,Amino acid metabolism,hsa00360,Phenylalanine metabolism,11/2970,16/9521,0.0022148174345551675,0.014417207828708164,0.01152496857702987,DDC/GOT2/ALDH3B1/PAH/IL4I1/TAT/GOT1L1/AOC3/ALDH3B2/HPD/ALDH3A1,11
Metabolism,Amino acid metabolism,hsa00350,Tyrosine metabolism,20/2970,37/9521,0.003174156381329663,0.02027933243627285,0.01621109107033863,DDC/GOT2/ADH4/ALDH3B1/HGD/ADH7/IL4I1/TYR/TAT/ADH6/GOT1L1/DCT/AOC3/DBH/TYRP1/ALDH3B2/ADH1A/HPD/TH/ALDH3A1,20
Metabolism,Lipid metabolism,hsa00592,alpha-Linolenic acid metabolism,15/2970,26/9521,0.00456860269327641,0.028657598712370207,0.022908591495472145,PLA2G4A/PLA2G5/PLA2G2F/PLA2G4E/PLA2G4D/PLA2G3/PLA2G2C/PLB1/PLA2G2D/PLA2G1B/PLA2G12B/PLA2G2A/PLA2G2E/PLA2G10/PLAAT2,15
Human Diseases,Immune disease,hsa05340,Primary immunodeficiency,20/2970,38/9521,0.004759569269162297,0.029116413198822005,0.0232753631063047,BLNK/BTK/CD40LG/ICOS/CD8B/CD8B2/RAG1/AICDA/RAG2/CD8A/CD4/CD79A/CD3E/CD19/IL7R/AIRE/PTPRC/JAK3/TNFRSF13B/LCK,20
Human Diseases,Immune disease,hsa05322,Systemic lupus erythematosus,60/2970,144/9521,0.004810537832848853,0.029116413198822005,0.0232753631063047,GRIN2B/CD80/C7/C6/CD40LG/GRIN2A/CD28/CD86/H2BW2/C9/ACTN1/H3C8/H4C5/C8B/IFNG/FCGR1A/HLA-DMB/H4C13/IL10/FCGR2A/H2BC7/C8A/TNF/H3C2/C4A/H2BW1/CTSG/H2BC10/H2BC14/H2AC11/H2BC9/C2/FCGR3A/H3Y2/C1QB/C1R/H3C12/HLA-DQA2/H2AC1/C1QA/H2BC8/H3C11/H3C3/H2AC14/H4C6/H2AC16/HLA-DQB2/H2AC13/H2AC12/H4C1/H2BC17/H2BC1/H3Y1/H3C13/H2AC4/H2BC3/FCGR3B/HLA-DRB5/H4C7/H2BC13,60
Organismal Systems,Nervous system,hsa04721,Synaptic vesicle cycle,36/2970,79/9521,0.004950297860388169,0.02944573727299859,0.02353862140511253,SLC1A3/SYT1/SLC6A11/SNAP25/SLC6A5/CACNA1A/CPLX4/SLC17A8/ATP6V0D2/CACNA1B/SLC1A2/ATP6V0A4/STX1B/CPLX2/UNC13A/ATP6V1C2/DNM3/SLC6A4/SLC1A6/SLC18A1/SLC32A1/SLC18A2/SLC6A2/SLC6A7/DNM1/SLC17A6/SLC6A9/ATP6V1G3/UNC13C/ATP6V1B1/SLC6A3/SLC6A12/SLC18A3/ATP6V1F/RIMS1/SLC1A7,36
Metabolism,Metabolism of cofactors and vitamins,hsa00860,Porphyrin metabolism,23/2970,46/9521,0.005856118009220915,0.03424340191832569,0.02737382548467225,HEPH/CP/UGT1A1/UGT2B4/UGT2B10/UGT2B7/HEPHL1/UGT2B15/UGT1A7/UGT2B28/UGT1A4/UGT2B11/UGT1A6/UGT2A1/UGT2A3/UGT1A8/UGT1A9/UGT1A10/UGT1A5/UGT1A3/FTMT/HMOX1/UGT2B17,23
