gene,log2FC,p_value,FDR
ADAT2,0.5120781243880036,2.9802234209763688e-05,
ADAT3,0.48921963944515073,0.0010589106828933546,
ADCK1,0.6836551427984677,1.8991075128427677e-10,
ADCK2,0.6393511615242092,5.165504833637458e-10,
ADCK5,0.674256346506599,2.51611180809866e-08,
ADCY1,0.5848474153070176,5.437183178765778e-08,
ADCY2,0.6784289910840605,3.167169620243382e-10,
ADCY3,0.6925709606149372,0.0006926656060102528,
ADCY4,0.6992547386342369,1.6547801991911177e-10,
ADCY5,0.3930039709024282,0.005641676786028371,
ADCY6,0.6945433021711775,1.1641724214769313e-09,
ADCY7,0.766648724639337,0.00024221054309251757,
ADCY9,0.7533934238599869,2.369877650785869e-10,
ADD1,0.7191282932081329,6.293086568942813e-15,
ADD3,0.8124776409322496,5.103651170974826e-05,
ADGRA2,0.8583203681487662,0.002297154401148552,
ADGRA3,0.701128722889002,1.1647322731983159e-11,
ADGRD1,0.6048536804532259,9.461954108508514e-05,
ADGRE5,0.6647099116879523,4.674075042875363e-08,
ADGRF5,0.7348142854041023,9.24443040159874e-11,
ADGRG1,0.5014728590823754,1.2909756270453794e-05,
ADGRL1,0.5890786091884133,0.005805614732301523,
ADGRL2,0.6454344908178788,1.8432090744524555e-08,
ADGRL4,0.6588616910459324,8.219283307115038e-07,
ADH1C,0.6390999708165614,0.0030385358656377644,
ADH5,0.729580132968709,2.9788470955057354e-12,
ADHFE1,0.7087953638327829,2.488614823184503e-08,
ADI1,0.9003053146062352,1.929254456493782e-12,
ADIPOR1,0.7227905875183308,4.117410296655479e-13,
ADIPOR2,0.6666244008531375,1.4873134053328964e-12,
ADK,0.7155549370762755,5.106195668482173e-17,
ADM,0.5167928593159987,0.00566452032428563,
ADM5,0.9049721178074687,6.851774928211706e-07,
ADNP,0.7310527612208735,9.141755111458671e-14,
ADNP2,0.7482922583266349,3.8363939676430715e-07,
ADO,0.7641298622148033,1.011627246763931e-11,
ADORA1,0.4929489528359553,0.006353770936565444,
ADPGK,0.7127030555287801,2.5278008113176384e-10,
ADPRH,0.6194255000137695,1.1741271716260218e-06,
ADPRM,0.6796675552183346,2.42830898973717e-10,
ADPRS,0.658805306603929,2.4020905490806007e-12,
ADRA1B,0.6054108025138143,0.0003011250939466509,
ADRA2B,0.5357771314034014,0.00028115276669504307,
ADRA2C,0.8887721715374848,1.1292910972362383e-10,
ADRB2,0.6208403429419255,4.6436354174225803e-08,
ADRM1,0.6883916127111751,1.36733358186996e-07,
ADSL,0.7947020890181362,5.081229538823404e-12,
ADSS1,0.7241413802326869,1.5330778505694984e-07,
ADSS2,0.6475069877913916,7.424187867133514e-10,
AEBP2,0.7723667914298646,2.428262979055252e-13,
AF196969.1,0.6378480808678023,0.0011371584615827777,
AFAP1,0.690100002505379,0.003986381897511925,
AFAP1L1,0.7429946841711621,7.277564450106511e-09,
AFAP1L2,0.44240516244549427,0.0013624302280110779,
AFDN,0.6413228256120281,1.0321894077248035e-11,
AFF1,0.7289001309781125,2.3131198677322235e-11,
AFF3,0.5685331112150004,0.0022150552023737316,
AFF4,0.6960721245677238,1.1515518402096322e-10,
AFG1L,0.5275683997425751,1.8380736081878324e-08,
AFG3L2,0.7438771675206887,1.021848146655447e-13,
AFMID,0.7273380668787854,3.557407695297144e-07,
AFTPH,0.7222016130479739,7.441100461006911e-14,
AGA,0.7572675330066566,3.92449900604865e-13,
AGAP1,0.7589102976275276,7.803583181628637e-14,
AGAP2,0.6228298723810882,6.465284152160363e-07,
AGAP3,0.8688471617373249,1.0916299291834003e-13,
AGAP4,0.7528250356986577,8.828653750189072e-12,
AGAP5,0.4595635582983379,0.009044419777150325,
AGAP6,0.7421615004065193,1.5637844481928986e-07,
AGAP9,0.7052416776801834,1.556622044813547e-07,
AGBL1,0.7018932843955861,2.646376729968674e-06,
AGBL3,0.5083351751339429,2.2257834953551964e-05,
AGBL5,0.6719367068930259,3.261148417832067e-11,
AGER,0.5636897024118388,0.000590989223698382,
AGFG1,0.7156790209964733,6.967958483591247e-14,
AGFG2,0.6585226254826388,1.073396655755407e-09,
AGGF1,0.7357478909083143,4.961947303388205e-13,
AGK,0.5089061870311641,1.8626676844603757e-08,
AGL,0.6889948661922466,1.638384764860154e-07,
AGMAT,0.6698051489874196,0.00010781614848306047,
AGO1,0.7081016111130101,1.4363944425830952e-14,
AGO2,0.6582818461061919,1.9785784375955614e-11,
AGO3,0.6736218246936204,7.706887434641265e-13,
AGO4,0.7123720494720356,3.5745326508794535e-14,
AGPAT1,0.7073719654561968,4.201396510041955e-11,
AGPAT3,0.7933126995366427,3.5480035497066056e-12,
AGPAT5,0.7129537979146198,2.737206057374918e-11,
AGPS,0.7279011916922128,4.791891993025408e-12,
AGRN,0.7790863027395126,2.423385904801412e-05,
AGTPBP1,0.8408480032902835,2.6815992234154755e-08,
AGTR1,0.7829405682436763,9.432267702514658e-08,
AGTRAP,0.8336936308242949,9.369964843706182e-08,
AHCTF1,0.7101020032827948,2.279834849978396e-14,
AHCY,0.7241952471982716,1.0378414236128892e-12,
AHCYL1,0.6369238476461588,1.3020814421656646e-09,
AHCYL2,0.668628318114456,2.652504285525981e-12,
AHDC1,0.80341000979472,1.96551928638552e-09,
AHI1,0.6007686315706414,9.821286476514053e-06,
AHNAK,0.7058592276138657,7.610132837457841e-10,
AHR,0.6586886856403071,0.007662646493992931,
AHSA1,0.7251122512120227,1.639531501232592e-11,
AIDA,0.680490828179012,4.120368552937546e-11,
AIF1,0.7106965913804496,0.0020024148336569773,
AIF1L,0.7449148368492702,2.23086854850105e-09,
AIFM1,0.7509928951429462,5.920510947758923e-14,
AIFM2,0.6282927867316808,2.957659036723514e-07,
AIG1,0.9273660562243103,1.3464961621862855e-08,
AIMP1,0.7300852385712442,3.7187502306225686e-17,
AIMP2,0.7899485182711917,7.090695742784924e-11,
AIP,0.7362519564862304,5.118277224977016e-12,
AJAP1,0.6456789253732507,0.00020710582059383037,
AJM1,0.9714752650508773,1.4335901933865163e-08,
AK1,0.7454271729124265,7.38774963920685e-07,
AK2,0.7679893994733259,7.46514011834007e-14,
AK3,0.8520212532226766,6.885307178559219e-09,
AK6,0.6612210427130703,5.4838730773991276e-11,
AK9,0.5285998505382584,1.0780341446122335e-08,
AKAP1,0.8077506386307141,6.246734191075001e-13,
AKAP6,0.723971981030436,2.1031414979122364e-13,
AKAP7,0.7806841427982804,2.2815001198512304e-11,
AKAP8,0.697069853475023,2.8413194705131224e-13,
AKAP8L,0.791662026481929,4.636294071070163e-13,
AKAP9,0.6939804776748858,1.2193305939146275e-12,
AKAP10,0.7291909475755002,2.219461852966173e-13,
