gene,log2FC,p_value,FDR
HELLPAR,1.9736960619635364,3.998146361565358e-08,8.476249494899588e-06
AC008957.1,1.726535688658987,4.016740464813167e-08,8.476249494899588e-06
LINC00920,1.615515420759186,4.0535360812558634e-08,8.476249494899588e-06
AIM2,1.7646872507600508,4.056741512305513e-08,8.476249494899588e-06
AC105450.1,2.3662389390574257,4.1255737656620134e-08,8.476249494899588e-06
ST18,2.5586530345456926,4.150117858156604e-08,8.476249494899588e-06
KCNQ3,1.8305707761191112,4.161798211336717e-08,8.476249494899588e-06
LINC01553,2.51956586640152,4.1622011357528975e-08,8.476249494899588e-06
KAZN-AS1,2.902230103659113,4.195557038600872e-08,8.476249494899588e-06
BLM,2.0127560073560256,4.2100657693336874e-08,8.476249494899588e-06
KIZ-AS1,2.562091515220267,4.232630845670288e-08,8.476249494899588e-06
AC105285.1,1.1731583073874994,4.2414236324972926e-08,8.476249494899588e-06
DNAH7,2.069414988338911,4.398383984826849e-08,8.741362911723281e-06
LNC-LBCS,2.3371895410432595,4.4518066093523253e-08,8.798922381957244e-06
FAT2,1.87056266482219,4.489088648955959e-08,8.81477406614344e-06
RNF175,2.330873612815647,4.50883583945956e-08,8.81477406614344e-06
MEI1,2.051143720578812,4.549021331207352e-08,8.833437054670837e-06
LINC02694,2.0494252854566937,4.567494974337751e-08,8.833437054670837e-06
SPAG6,2.1946655690962444,4.6057563632630026e-08,8.852233227652929e-06
ZBTB20-AS1,2.460804705720837,4.6264312431856734e-08,8.852233227652929e-06
OTOGL,1.6980638443179628,4.7193737631943056e-08,8.972642506816991e-06
AL356215.1,2.0163124591119805,4.7392474043568004e-08,8.972642506816991e-06
ABCA4,2.1538225318856576,4.8119452707624785e-08,9.019306315058746e-06
FANCI,1.5499054424240533,4.814040955441119e-08,9.019306315058746e-06
TFAP2C,2.2531984679235086,4.957820982770022e-08,9.193893161658706e-06
FSHR,2.515723800032923,4.9583433597292036e-08,9.193893161658706e-06
AC008080.4,2.6066654994729195,5.06611824331677e-08,9.335349100909145e-06
RTKN2,2.1465304067328357,5.086535148944158e-08,9.335349100909145e-06
PTPRT,2.283618487967757,5.215285260451441e-08,9.486575767063506e-06
CCDC30,1.1560157007099818,5.2216779769781335e-08,9.486575767063506e-06
AC011193.1,2.544885060764461,5.343187631942136e-08,9.63539297406684e-06
LINC02183,2.3874800865372294,5.399144344180752e-08,9.63539297406684e-06
