gene,log2FC,p_value,FDR
PANK2-AS1,0.20041373649685287,0.25898986290579434,0.3712298114618758
AC097641.2,0.31636572416643294,0.2592423550743683,0.3715769214143196
AC083900.1,0.2545620245315697,0.25926470879699776,0.3715941551058094
DLL4,0.26762442904375827,0.2592753470774736,0.3715945967995091
NDUFAF4,-0.20689573931976396,0.25938903078070524,0.371742717738786
KCNA6,0.4567525184274332,0.25942737082485356,0.37178285260792926
LRCH4,0.2356508270902517,0.25946084862172086,0.37181601651743057
MEG9,0.7027526040920066,0.25954406889216336,0.37192045756239894
TCAF2C,1.094464681137085,0.259629951230592,0.37202870481464534
FAM89B,-0.23525160632851053,0.25968148594675244,0.37208772804128976
SMTNL2,-0.26828563108066406,0.25973960211455543,0.37215617650222205
PRDM16-DT,0.21237591743570214,0.25977518680414075,0.372192337583883
AGPAT4,0.9005868242331839,0.25981684754768275,0.3722372008915582
MYO18A,-0.21249700576072497,0.25984383835899016,0.37226104398620397
TAGLN,0.4890911055631767,0.2599496501776245,0.37235331566079355
MAN2B2,0.48442166022934563,0.2599490607336125,0.37235331566079355
DDX55,0.1930591981325779,0.25993813360997714,0.37235331566079355
B9D1,0.2601133180813358,0.2599255464514859,0.37235331566079355
AC068700.1,-0.21977615396690495,0.2600223391340617,0.37244260505417165
SELENBP1,-0.22176914226796784,0.2601769661182972,0.3726492464745127
AL138921.2,0.2668411643957766,0.26020212088040506,0.37265559948679905
TAP2,0.2876427930573196,0.2601940182419368,0.37265559948679905
MAP2K2,-0.19757919309052155,0.26023206451295566,0.37268364617644884
POLR2D,-0.2018020114387206,0.26031179140786764,0.372782983419874
NPPC,0.3724047664435361,0.2603682292120447,0.3728489626280124
AC079336.1,0.8998739615219056,0.26039133787250024,0.37286721093704783
CHROMR,0.26680799922611004,0.2604066615256441,0.372874310500775
STON1,0.34651334502835884,0.26046165142035194,0.37293820502698327
AC145423.1,-0.22558294924372754,0.260583151936007,0.37309732293591963
CRISPLD2,1.5549426891956812,0.2607799041298389,0.37336416761626134
FAM20A,0.52771954966921,0.2608198164501163,0.37340644899082964
AC009812.4,0.21246526393042536,0.2609165886165894,0.3735301279785074
AC011330.2,0.26195358175777284,0.2609668449993737,0.3735872074306539
BTN3A3,0.4353221254813444,0.2610515214682002,0.3736935544691033
ITPKB-IT1,0.3369542149620675,0.26114155262506134,0.37380755793986103
AC109583.1,0.377581625836578,0.26117765000717874,0.3738294774016487
AC002044.1,-0.316072827071649,0.2611725148402322,0.3738294774016487
OR9A2,0.356662294369113,0.26130484272413385,0.37399664992132026
OTUD4,-0.17400908022679473,0.26131836342517983,0.37400112075796005
TOMM40L,-0.21867271723393467,0.26137689879447906,0.3740700140614681
ATL2,-0.19263192120652872,0.2617439246324152,0.37458038100243635
COL4A4,-0.2119579239931453,0.26189452307520644,0.3747809915288748
PCDHB12,0.39598142061866864,0.26193260444096034,0.3748205762968504
AC096921.2,0.4778486546921608,0.2620039322289754,0.37490732391850745
NME1,0.3116954002183419,0.26202449212262857,0.37490732391850745
SPRING1,0.273698254125247,0.26201610501577066,0.37490732391850745
IFT80,0.2212761110106956,0.2621104330501728,0.3750153725909163
AL132819.1,0.9273546961444535,0.2621525375432703,0.3750606960389182
AC127502.2,0.26635476412148257,0.26220670346717123,0.37512327144134117
IQSEC2,0.3788398379484767,0.2622678974705504,0.3751812539740757
ALDH7A1,0.19246492456218373,0.26226809219482117,0.3751812539740757
AC009061.2,0.2184742865415969,0.26228743783001407,0.3751940077791095
REEP6,0.395661337274902,0.2623441361923233,0.37526019035749375
C17orf97,0.5609948505129424,0.26243704823355296,0.37537816609238406
AC126283.1,0.5523152664287688,0.26254176872155105,0.3755130220457906
XRCC3,0.22813501818464504,0.26258913134921474,0.3755658316923364
CTSD,0.46825094549746116,0.26261124716489426,0.3755677777059634
PRCP,0.4001473761121053,0.26261137308568044,0.3755677777059634
AC080038.1,0.783452487830869,0.26263135247936825,0.3755768386850834
BTN3A2,0.34573674780431163,0.2626385904904724,0.3755768386850834
NEMP1,0.23006611715286754,0.26277855116611964,0.3757620465315494
APOO,-0.2052551086107584,0.262812775455943,0.37579604717180826
STEAP3,-0.21479292784289525,0.2629583849624493,0.3759743639997307
ADAM17,0.30039889470898,0.2629503821328145,0.3759743639997307
TFDP2,-0.20656753786553744,0.26301020903413136,0.3760292219481422
PUS3,0.22154647330623337,0.26301765966410556,0.3760292219481422
B3GNT8,0.3517797759279023,0.2631045155394752,0.37613844817526443
SHF,0.5454716181185417,0.2632371549396173,0.37631311598330536
AC006030.1,0.30937714017438595,0.26333736086495796,0.37644140617685057
CD68,1.2529571135402566,0.26340145855748964,0.37651807141784294
P4HA2,0.5009455633952908,0.26343647698798256,0.3765531649929154
ATOX1,0.2880628237305654,0.2635149309060199,0.37665033951409976
WNT4,0.24171302869336408,0.26357738437846717,0.3767246372720209
LINC00702,0.38642029478673207,0.26374429985194714,0.37694822814868456
DR1,-0.2016007433220528,0.2639089442207966,0.3771685554831345
FEM1A,-0.25734564057923903,0.26395526941422354,0.3772197747951392
HOXB3,0.2979696715886514,0.26398058039560196,0.3772409597167724
PDLIM1,-0.2110660009960663,0.26411633080020475,0.37740496748808156
AP000941.1,0.7043416293433483,0.2641137377618424,0.37740496748808156
PLEKHM1,0.31445347336477963,0.2641444002655629,0.3774300840656536
BVES-AS1,-0.22529021080470626,0.26420725977935666,0.3775049074032022
ALDH18A1,0.5912634860052505,0.2645180661852021,0.3779339824766291
AC092535.5,0.7574296965146181,0.2645719278976911,0.3779959246300637
AC006942.1,0.3276456120661342,0.2646127922343173,0.37803929315115214
MMACHC,-0.25185498603596135,0.26489727612163727,0.37843069168576393
TCEAL7,0.5907798273042001,0.2649586411466776,0.37850332549653654
AC074387.1,0.6054266032010865,0.265049821309255,0.37861854388597094
AC011498.4,0.47439257485756253,0.26511126229375714,0.3786762359923377
HAAO,0.36877548802904425,0.2651021301984019,0.3786762359923377
AC068790.5,0.2078061570655299,0.26515259437705613,0.3787202352563614
AC008759.3,0.5207294385014147,0.26520305622074775,0.378777270641338
BCKDK,-0.21203413312834538,0.26526887590500425,0.3788562355204992
AC234772.1,2.011551046674771,0.2653898631563777,0.37901398116012464
PAG1,0.45764947399496164,0.2654531162319512,0.37908926504012663
AC009159.2,0.484053346651359,0.26553800721455073,0.3791954424581905
SLC22A4,0.9034212466555022,0.2655651687140441,0.37921917545875894
AC097103.1,-0.21917220621618164,0.2655872616198664,0.3792356690612033
SLC7A1,0.769592496994974,0.26562443865790947,0.37927369933720956
SLC6A1,0.18071850657173,0.26564637138443037,0.3792899607621152
TAPBPL,-0.21842612209943524,0.26576078443394024,0.3794382590854415
