sample_id,Alkaliptosis,Anoikis,Apoptosis,Autophagy,Cuproptosis,Disulfidptosis,Entosis,Ferroptosis,Lysosome_dependent_cell_death,Necroptosis,NETosis,Oxeiptosis,Parthanatos,Pyroptosis,adjusted_two_block_K4,geo_accession,title,subgroup
AB_47,0.8235906712116501,0.27619201655493386,0.2802067831257464,0.7798522483047612,0.22084999150027324,0.5101746797582888,-0.34421027068707605,0.7229772035607516,0.45488524858931584,0.20067303619710006,-0.1252977948233997,1.0718611616314624,-0.012347872028988738,-0.34794126443827167,C3,GSM8059533,"AB_47, Colorectal",Colorectal
AB_48,0.12666616015515425,-0.5035294627157846,1.3930507577884081,-1.1785447822339157,-0.7940356327760709,0.4672262479289241,0.7544188441353774,-0.1556489756285256,-0.7132112419520066,-0.4720658049985361,0.5082563910656578,-1.0776317318522592,0.13388799018976802,0.2544890572251009,C1,GSM8059534,"AB_48, Colorectal",Colorectal
AB_49,-0.08322102197178453,-0.44445548212430525,1.3013598846151027,1.7376763945652773,0.0318715887279704,0.10341069816433453,-0.8476014701097625,-0.6507451827966871,-1.609366279679105,-0.08092281052703092,-1.3419274955110168,1.7833152410182334,0.2153812939152155,-0.5882272102861303,C4,GSM8059535,"AB_49, Pancreas",Pancreas
AB_50,-0.5518404900960999,-0.12923397328670735,0.1356208769692172,-0.5134585556815032,0.8864877585895702,-0.43289515503934806,-0.039033001654065834,1.027382768934593,-0.1284957730381547,-0.8048196833298477,-0.9061383202508448,-0.16737889571265674,1.225231221331236,0.10740252874804773,C2,GSM8059536,"AB_50, Pancreas",Pancreas
AB_51,1.3693798470205008,-1.1072257849217886,0.8140555071775203,-0.5524257658795736,0.3556981515895573,0.8861275265627955,0.36218707490483576,0.5879309240654587,0.07086348629853667,-0.75736480229971,0.38809370460734643,0.0742652827119275,0.695206995390037,0.3645560241077553,C1,GSM8059537,"AB_51, Colorectal",Colorectal
AB_52,-0.34241873830491887,0.8138726464693019,2.160277325354926,-1.9915883024562482,-2.7396365073040423,1.2767000025313848,1.2928493406031747,-0.6978930557254995,-0.9209069364340794,1.4589697782317272,0.9482140613749283,-0.13244771869088698,-0.5233921025339614,0.5674447916327646,C2,GSM8059538,"AB_52, Colorectal",Colorectal
AB_53,-0.7153327998417333,0.249659231162899,0.42558745562846884,-0.1633526122471512,-0.45811755082492317,-0.2953736893171409,0.5589171960666205,-0.03839085673344517,0.9685273146383584,-0.36747544265557597,0.7286775138110062,-1.4143439882622346,-0.5030532890503512,-0.2953063409566421,C1,GSM8059539,"AB_53, Pancreas",Pancreas
AB_54,0.8438046114589831,-0.6340855829946254,1.5431559936812673,-0.7329853376979995,-0.058872982805332874,0.18569953435378633,-0.013042417734001875,0.041893827851617715,-0.03258531246182838,-0.19845726910981784,1.2965032777635714,-0.1560007286794996,0.1137615427568895,-0.45467289473617234,C1,GSM8059540,"AB_54, Colorectal",Colorectal
AB_55,0.6902480265710428,-0.5219110795916697,-0.891569926922541,0.9187568554490297,0.7104684852188637,1.7502627260767694,1.8966034819477262,0.4971904085782935,0.6540311821728206,-0.7865317500600986,-0.3475170788861213,0.1877369841687948,-0.5139137892559483,0.9311103423688405,C2,GSM8059541,"AB_55, Pancreas",Pancreas
AB_56,-0.02326193808356533,-0.10697823165071935,-0.17578267749937992,1.0996288044259925,-0.5888384730019176,0.48955658783756084,1.8100895849957521,-0.39911279436420244,-1.0016961115244232,-1.2611861698786395,-0.18630097803993415,-1.734699486268961,-1.714759626909035,-0.691779976675759,C4,GSM8059542,"AB_56, Colorectal",Colorectal
AB_57,0.1569318557030374,-0.725838663468947,-0.03838563974618761,1.2724953559715322,0.036046794286535185,0.03398851163837449,-1.3939822620877982,-1.0665219425468544,-0.9927421242920804,0.3842344869511691,-0.28042711840265033,0.8230155234538375,0.37548769218005246,-1.0371470099023294,C1,GSM8059543,"AB_57, Colorectal",Colorectal
