sample_id,RNA_library_size,log10_RNA_library_size,RNA_detected_features,RNA_zero_fraction,lncRNA_library_size,log10_lncRNA_library_size,lncRNA_detected_features,lncRNA_zero_fraction,smallRNA_library_size,log10_smallRNA_library_size,smallRNA_detected_features,smallRNA_zero_fraction,geo_accession,title,subgroup
AB_74,24180607,7.383467216612648,17313,0.10822087153600495,423195,5.626541554144952,2951,0.29721362229102166,2879791,6.459361120913944,1878,0.33095831848949053,GSM8059560,"AB_74, Colorectal",Colorectal
AB_75,36546938,7.562851008350551,16019,0.1748738024106315,586186,5.768036182763507,1981,0.5282210050011907,4346629,6.638152673133716,1984,0.29319558247239047,GSM8059561,"AB_75, Pancreas",Pancreas
AB_76,27366024,7.437211719370803,19054,0.01854331925414649,584144,5.76652066369373,4056,0.034055727554179564,2782892,6.444496508381147,1690,0.3979337370858568,GSM8059562,"AB_76, Colorectal",Colorectal
AB_77,27477840,7.438982606166921,18349,0.05485731946018337,570309,5.756110986711782,3619,0.1381281257442248,2157219,6.333894438062154,1837,0.3455646597791236,GSM8059563,"AB_77, Colorectal",Colorectal
AB_78,25360825,7.404163394375315,18446,0.0498609251055939,488479,5.688846786954587,3628,0.13598475827577994,5829447,6.76562743264857,2127,0.24225151407196294,GSM8059564,"AB_78, Pancreas",Pancreas
AB_79,28651001,7.457139814975709,16402,0.15514577109302566,592089,5.772387726203612,2098,0.5003572279114075,2200254,6.342473016583661,1756,0.37442109013181335,GSM8059565,"AB_79, Pancreas",Pancreas
AB_80,33566448,7.525905399595463,16797,0.13479962913361493,712818,5.852979267186483,2539,0.395332221957609,1059372,6.025048899975416,1610,0.42643391521197005,GSM8059566,"AB_80, Colorectal",Colorectal
AB_81,34042115,7.532016547257509,17120,0.11816215102503348,659671,5.819328050696244,2721,0.351988568706835,2741095,6.437924245878853,1753,0.37548984681154257,GSM8059567,"AB_81, Colorectal",Colorectal
AB_82,20701996,7.31601224131431,18577,0.0431132172658906,503049,5.701611153336058,3726,0.11264586806382472,3019718,6.479966531557381,1904,0.32169576059850374,GSM8059568,"AB_82, Pancreas",Pancreas
AB_83,26203646,7.4183617402414805,16232,0.16390233851859484,532691,5.726476174573558,2059,0.5096451536080019,2179767,6.338410272649775,1754,0.37513359458496615,GSM8059569,"AB_83, Colorectal",Colorectal
AB_84,37379781,7.572636764231868,19001,0.02127330792211806,879916,5.944441708352416,4047,0.03619909502262444,2550417,6.406611364832505,1743,0.3790523690773067,GSM8059570,"AB_84, Pancreas",Pancreas
